,Skills,Pbb
1,Abaqus,0
2,Acceptance testing,0
3,Access control,0
4,Accessability testing,0
5,Account management,0
6,Accountability,1
7,Accounting,0
8,Accounting software,0
9,Accounts payable,1
10,Accounts receivable,1
11,AccuRev,0
12,ACD,0
13,ACL,0
14,Acoustics,0
15,Acquisition,1
16,ACS,0
17,ACT,0
18,ActionScript,0
19,Active Directory,0
20,ActiveSync,0
21,ActiveVOS,0
22,ActiveX,0
23,Activity diagrams,1
24,ADA,0
25,Adapter,0
26,ADF,0
27,ADFS,0
28,Administrative support,0
29,AdminStudio,0
30,ADO.NET,0
31,Adobe,1
32,Adobe Acrobat,0
33,Adobe Captivate,0
34,Adobe CQ,0
35,Adobe Dreamweaver,0
36,Adobe Edge,0
37,Adobe Experience Manager,0
38,Adobe Flash,0
39,Adobe FrameMaker,0
40,Adobe Illustrator,0
41,Adobe InDesign,0
42,Adobe PageMaker,0
43,Adobe Photoshop,0
44,Adobe Proto,0
45,Adobe RoboHelp,0
46,ADS,0
47,ADSL,0
48,Advanced analytics,0
49,Advertising,0
50,Aerodynamics,0
51,Aeronautics,0
52,Aerospace,0
53,AFDX,0
54,Aggregator,0
55,Agile,0
56,Agile PLM,0
57,Agile testing,0
58,Agilent,0
59,Agilent ADS,0
60,Agilent VEE,0
61,Ajax,0
62,Akamai,0
63,Akka,0
64,Alcatel-Lucent,0
65,Alfresco,0
66,Algorithms,0
67,Allegro,0
68,ALM,0
69,Altera,0
70,Altium,0
71,Altium Designer,0
72,Amazon DynamoDB,0
73,Amazon EC2,0
74,Amazon RDS,0
75,Amazon Redshift,0
76,Amazon Route 53,0
77,Amazon S3,0
78,Amazon SES,0
79,Amazon SQS,0
80,Amazon VPC,0
81,Amazon Web Services,0
82,AMBA,0
83,Amdocs,0
84,Amdocs Clarify CRM,0
85,AML,0
86,AMQP,0
87,Analog circuits,0
88,Analog electronics,0
89,Analysis of algorithms,0
90,Analytical skill,0
91,Analytics,0
92,Android,0
93,Android ndk,0
94,Android sdk,0
95,AngularJS,0
96,Animation,0
97,ANSI,0
98,ANSI C,0
99,Ansible,0
100,Ansys,0
101,Antennas,0
102,Antivirus,0
103,AOP,0
104,Apache Accumulo,0
105,Apache ActiveMQ,0
106,Apache Ant,0
107,Apache.Avalon,0
108,Apache Axis,0
109,Apache Axis2,0
110,Apache Camel,0
111,Apache Cassandra,0
112,Apache CloudStack,0
113,Apache Commons,0
114,Apache Cordova,0
115,Apache CXF,0
116,Apache Drill,0
117,Apache Felix,0
118,Apache Flex,0
119,Apache Flume,0
120,Apache Hadoop,0
121,Apache HBase,0
122,Apache Hive,0
123,Apache HTTP Server,0
124,Apache Ivy,0
125,Apache James,0
126,Apache JMeter,0
127,Apache Kafka,0
128,Apache Log4j,0
129,Apache Log4net,0
130,Apache.Lucene,0
131,Apache Mahout,0
132,Apache Maven,0
133,Apache Oozie,0
134,Apache OpenJPA,0
135,Apache Pig,0
136,Apache Pivot,0
137,Apache ServiceMix,0
138,Apache Solr,0
139,Apache Struts,0
140,Apache Tapestry,0
141,Apache Tiles,0
142,Apache Tomcat,0
143,Apache TomEE,0
144,Apache Velocity,0
145,Apache Wicket,0
146,Apache ZooKeeper,0
147,APEX,0
148,API,0
149,API management,0
150,APL,0
151,Appcelerator,0
152,AppDynamics,0
153,Apple,0
154,Applets,0
155,Application analysis,0
156,Application lifecycle management,0
157,Application server,0
158,Applicaton Development,0
159,Applied physics,1
160,APQP,0
161,Arabic,1
162,Arbortext,0
163,Arbortext Editor,0
164,ArcGIS,0
165,ArchiCAD,0
166,Architecture,0
167,Archiving,0
168,Ariba,0
169,ARINC,0
170,ARINC 653,0
171,ARINC 661,0
172,ARINC 818,0
173,ARIS,0
174,ARM,0
175,ARP4754,0
176,ARP4761,0
177,Art,1
178,Articulate,0
179,Articulate Storyline,0
180,Artificial intelligence,0
181,Aruba,0
182,AS2,0
183,AS3,0
184,AS9100,0
185,ASA,0
186,ASIC,0
187,ASM,0
188,ASP,0
189,ASP.NET,0
190,ASP.NET AJAX,0
191,ASP.NET MVC,0
192,AspectJ,0
193,Aspen,0
194,Assays,0
195,Assembly,0
196,Assembly language,0
197,Asset accounting,0
198,Asset management,0
199,Asterisk,0
200,ATE,0
201,ATG,0
202,ATL,0
203,ATLAS,0
204,Atlassian,0
205,ATM,0
206,ATP,0
207,ATPG,0
208,Attention to detail,0
209,AUC,0
210,Audio,1
211,Audio codecs,0
212,Audit,0
213,Audit management,0
214,Augmented reality,0
215,AUT,0
216,Authentication,0
217,Author-it,0
218,Authorization,1
219,AutoCAD,0
220,Autodesk,0
221,Autodesk Inventor,0
222,Autodesk Revit,0
223,AutoIt,0
224,Automated testing,0
225,Automatic Data Processing,0
226,Automation,0
227,Automotive,0
228,Automotive engineering,1
229,AUTOSAR,0
230,Autotest,0
231,Avaya,0
232,Aviation,0
233,Avionics,0
234,AVS,0
235,AWK,0
236,AWR,0
237,AWS Elastic Beanstalk,0
238,AWT,0
239,AX,0
240,AXI,0
241,Axure,0
242,Axway,0
243,Baan,0
244,BAC,0
245,Back office,0
246,Backbone.js,0
247,Backend testing,0
248,Backup,0
249,Balsamiq,0
250,BAM,0
251,Bamboo,0
252,Banking,0
253,Barracuda,0
254,Base SAS,0
255,Bash,0
256,Batch file,0
257,Batch processing,0
258,Batch testing,0
259,BCM,0
260,BCS,0
261,BDD,0
262,Behavior-driven development,0
263,Behavioral modeling,0
264,Benchmarking,0
265,Benefits,0
266,BES,0
267,Best practices,0
268,BEX,0
269,BGP,0
270,Big data,0
271,Bilingual,0
272,Bill of materials,0
273,Billing,0
274,BIM,0
275,Biochemistry,0
276,Bioinformatics,0
277,Biology,0
278,Biomedical engineering,0
279,BIOS,0
280,Biotechnology,0
281,BIP,0
282,BIRT,0
283,Bitbucket,0
284,Black-box testing,0
285,BlackBerry,0
286,Blade servers,0
287,Blog,0
288,Blue Coat,0
289,Blueprint,0
290,Bluetooth,0
291,BMC,0
292,BMC Patrol,0
293,BMC Remedy,0
294,BMIDE,0
295,BMS,0
296,BN,0
297,BOM,0
298,BOOMI,0
299,Boost,0
300,Bootstrap,0
301,BOP,0
302,BPCS,0
303,BPEL,0
304,BPM,0
305,BPMN,0
306,BPR,0
307,Brand,1
308,BRD,0
309,BREW,0
310,Bridging,0
311,BRM,0
312,BRMS,0
313,Broadband,0
314,Broadcasting,0
315,Broadsoft,0
316,Brocade,0
317,BSC,0
318,BSD,0
319,BSM,0
320,BSP,0
321,BSS,0
322,BT,0
323,BTS,0
324,Budget,1
325,Bug tracking,0
326,Bugzilla,0
327,Build automation,0
328,Building information modeling,0
329,Burp suite,0
330,Business acumen,0
331,Business administration,0
332,Business analysis,0
333,Business analytics,0
334,Business architecture,0
335,Business cases,0
336,Business communications,0
337,Business development,0
338,Business intelligence,0
339,Business management,0
340,Business model,0
341,Business Objects,0
342,Business operations,0
343,Business owner,1
344,Business process,0
345,Business requirements,0
346,Business rules,0
347,Business systems,0
348,Business transformation,0
349,Buyer,1
350,CAA,0
351,CAB,0
352,Cables,0
353,Caching,0
354,CAD,0
355,CAD administration,0
356,CADAM,0
357,Cadence,0
358,Cadence Virtuoso,0
359,CAE,0
360,CaliberRM,0
361,Calibration,0
362,Call center,1
363,Calypso,0
364,Calyx,0
365,CAM,0
366,Campaign management,0
367,CAN,0
368,CANalyzer,0
369,CANoe,0
370,CANscope,0
371,CANstress,0
372,CAP,0
373,Capacity management,0
374,Capacity planning,0
375,Capital management,0
376,CAPL,0
377,CAPM,0
378,Carrier Ethernet,0
379,CAS,0
380,Cascading,0
381,Case management,0
382,Cash handling,0
383,Cash management,0
384,Catalog management,0
385,CATIA,0
386,CBASIC,0
387,CBP,0
388,CCAA,0
389,CCM,0
390,CDA,0
391,CDC,0
392,CDD,0
393,CDH,0
394,CDMA,0
395,CDP,0
396,Cellular,0
397,CentOS,0
398,Centricity,0
399,CFD,0
400,CGI,0
401,Change control,0
402,Change management,0
403,Changeman,0
404,CheckPoint,0
405,Chef,0
406,Chemical engineering,0
407,Chemicals,0
408,Chemistry,0
409,Chicago Manual of Style,1
410,Chinese,1
411,CICS,0
412,CIM,0
413,Circuit analysis,0
414,Circuit design,0
415,CIS,0
416,CISA,0
417,Cisco Certifications,0
418,Cisco ICM,0
419,Cisco IOS,0
420,Cisco Jabber,0
421,Cisco Nexus,0
422,Cisco UCCX,0
423,Cisco UCS,0
424,Cisco Voice,0
425,CISM,0
426,CISO,0
427,CISSP,0
428,Citrix,0
429,Citrix XenApp,0
430,Claims,0
431,Claims management,0
432,Clarity,1
433,Client/server,0
434,Clinical research,0
435,CLIST,0
436,CLM,0
437,Clojure,0
438,Cloud,0
439,Cloud architecture,0
440,Cloud Foundry,0
441,Cloud management,0
442,Cloud testing,0
443,Cloudera,0
444,Cloudera Impala,0
445,Cloverleaf,0
446,Cluster,0
447,Cluster analysis,0
448,Clustering,0
449,CM,0
450,CMake,0
451,CMC,0
452,CMM,0
453,CMMI,0
454,CMOS,0
455,CMS,0
456,CMVC,0
457,CNC,0
458,CNE,0
459,CNS,0
460,CO,0
461,Coaching,1
462,COBOL,0
463,Cocoa,0
464,Cocoa Touch,0
465,Code coverage,0
466,Code optimization,0
467,Code refactoring,0
468,Code review,0
469,CodeCollaborator,0
470,Codecs,0
471,Coded UI,0
472,CodeIgniter,0
473,COE,0
474,ColdFusion,0
475,Collaboration,0
476,Collections,1
477,Collections management,0
478,Color theory,0
479,COM,0
480,Commerce,0
481,Commodities,1
482,Communications management,0
483,Communications protocol,0
484,Communications security management,0
485,Community development,0
486,Compatibility testing,0
487,Compensation,0
488,Competitor analysis,0
489,Compiler,0
490,Compliance,0
491,Component interface,0
492,Compositing,0
493,Computer,1
494,Computer architecture,0
495,Computer engineering,1
496,Computer graphics,0
497,Computer maintenance,0
498,Computer science,1
499,Computer vision,0
500,Computerized system validation,0
501,COMSOL,0
502,Concept development,0
503,Conceptual design,0
504,Conceptualization,0
505,Configuration,0
506,Conflict resolution,1
507,Confluence,0
508,Conformance testing,0
509,Construction management,0
510,Consulting,0
511,Consumer electronics,0
512,Contact center,1
513,Contact management,0
514,Content creation,0
515,Content development,0
516,Content management systems,0
517,Content strategy,0
518,Contextual inquiry,0
519,Continuous delivery,0
520,Continuous improvement,0
521,Continuous integration,0
522,Contract management,0
523,Control engineering,0
524,Control flow,0
525,Control system,0
526,Controls,0
527,Convio,0
528,COO,0
529,CORBA,0
530,Core banking,0
531,Core Data,0
532,CorelDRAW,0
533,CoreOS,0
534,Corporate development,0
535,Corrective and preventive action,0
536,Cosmos,0
537,Cost-benefit analysis,0
538,Cost estimation,0
539,Cost management,0
540,Cost reduction,0
541,COTS,0
542,Couchbase,0
543,Coverity,0
544,CPE,0
545,CPG,0
546,CPQ,0
547,CPT,0
548,CPU,0
549,CQ,0
550,CRA,0
551,CRB,0
552,CRD,0
553,Creative management,0
554,Creative problem solving,0
555,Creativity,0
556,Creo,0
557,CRF,0
558,Critical thinking,0
559,CRM,0
560,CRO,0
561,Cross-browser,0
562,Cross-browser compatibility testing,0
563,Cross-functional,0
564,Cross-functional integration,0
565,Cross-functional team,0
566,CRS,0
567,Crucible,0
568,CruiseControl,0
569,Cryptography,0
570,Crystal Reports,0
571,CS,0
572,CSC,0
573,CSE,0
574,CSI,0
575,CSM,0
576,CSP,0
577,CSQA,0
578,CSR,0
579,CSS,0
580,CSV,0
581,CTI,0
582,CTP,0
583,CTS,0
584,Cubes,0
585,CUC,0
586,Cucumber,0
587,CUDA,0
588,CUP,0
589,Customer communications,0
590,Customer engagement,0
591,Customer experience,0
592,Customer facing,0
593,Customer focus,0
594,Customer satisfaction,0
595,Customer service,0
596,Customer support,0
597,Customization,0
598,CVP,0
599,CVS,0
600,Cyber security,0
601,Cygwin,0
602,D3.js,0
603,DA,0
604,DAC,0
605,DAM,0
606,DAO,0
607,DAQ,0
608,DAS,0
609,Dashboard,0
610,Data-driven testing,0
611,Data acquisition,0
612,Data analysis,0
613,Data architecture,0
614,Data center,0
615,Data cleansing,0
616,Data collection,0
617,Data conversion,0
618,Data domain,0
619,Data engineering,0
620,Data entry,0
621,Data extraction,0
622,Data flow,1
623,Data integration,0
624,Data integrity,0
625,Data Loader,0
626,Data loss prevention,0
627,Data management,0
628,Data manipulation,0
629,Data mapping,0
630,Data marts,0
631,Data migration,0
632,Data mining,0
633,Data modeling,0
634,Data processing,0
635,Data profiling,0
636,Data retention,0
637,Data science,0
638,Data security,0
639,Data services,0
640,Data storage,0
641,Data structure,0
642,Data validation,0
643,Data visualization,0
644,Data warehouse,0
645,Database,0
646,Database analysis,0
647,Database architecture,0
648,Database design,0
649,Database migration,0
650,Database mirroring,0
651,Database modeling,0
652,Database performance tuning,0
653,Datacap,0
654,Datacom,0
655,DaVinci,0
656,DAX,0
657,DBA,0
658,DBX,0
659,DCM,0
660,DCOM,0
661,DDMS,0
662,Debugging,0
663,Decision-making,0
664,Decision trees,0
665,Defect analysis,0
666,Defect tracking,0
667,Delivery management,0
668,Dell,0
669,DELMIA,0
670,Demand forecasting,0
671,Demonstrations,0
672,Dependency injection,0
673,Derivatives,0
674,Descriptive programming,0
675,Design controls,0
676,Design documentation,0
677,Design engineering,0
678,Design for manufacturability,0
679,Design management,0
680,Design optimization,0
681,Design patterns,0
682,Design review,0
683,Design thinking,0
684,Desktop,1
685,Development management,0
686,Development testing,0
687,Device drivers,0
688,DevOps,0
689,DevTrack,0
690,DFA,0
691,DFD,0
692,DFM,0
693,DFMA,0
694,DFSS,0
695,DFT,0
696,DHCP,0
697,DHTML,0
698,DIAMETER,0
699,Digital,1
700,Digital art,0
701,Digital circuit design,0
702,Digital design,0
703,Digital marketing,0
704,Digital photography,0
705,Digital signal processing,0
706,Dimensional modeling,0
707,Directory Services,0
708,Disaster recovery,0
709,Discrete manufacturing,0
710,Distributed computing,0
711,Distribution,1
712,DITA,0
713,DIVA,0
714,Django,0
715,DLL,0
716,DM,0
717,DMA,0
718,DMAIC,0
719,DML,0
720,DMM,0
721,DMR,0
722,DMS,0
723,DMZ,0
724,DNS,0
725,DO-160,0
726,DO-178B,0
727,DO-178C,0
728,DOCSIS,0
729,Doctrine,0
730,Document imaging,0
731,Document management,0
732,Documentation,0
733,DOE,0
734,Dojo,0
735,DOM,0
736,DOS,0
737,DOT,0
738,DPS,0
739,DRA,0
740,DRAM,0
741,Drawing,0
742,Drive testing,0
743,DRM,0
744,Drools,0
745,DRP,0
746,DRS,0
747,Drupal,0
748,DS,0
749,DSC,0
750,DSL,0
751,DSLAM,0
752,DSP,0
753,DSS,0
754,DTC,0
755,DTD,0
756,DTP,0
757,DTS,0
758,Due diligence,0
759,DV,0
760,DVB,0
761,DVM,0
762,DVR,0
763,DWDM,0
764,DxDesigner,0
765,DXL,0
766,Dynamic testing,0
767,Dynamics,0
768,Dynatrace,0
769,E-learning,0
770,EAI,0
771,EBS,0
772,ECAD,0
773,Eclipse,0
774,ECM,0
775,Economics,0
776,ECS,0
777,EDA,0
778,EDI,0
779,EDIS,0
780,Editing,0
781,Editorial,0
782,EDM,0
783,EDS,0
784,Education,0
785,EEG,0
786,EF,0
787,Effective communication,0
788,EFS,0
789,eGate,0
790,Ehcache,0
791,EHR,0
792,EIGRP,0
793,EIM,0
794,EIP,0
795,Elasticsearch,0
796,Electrical engineering,0
797,Electrical wiring,0
798,Electrician,0
799,Electromechanics,0
800,Electronic engineering,0
801,Electronic packaging,0
802,Electronics,0
803,Element management system,0
804,Eloqua,0
805,Emacs,0
806,Email,1
807,embedded,0
808,Embedded C,0
809,embedded device testing,0
810,Embedded Linux,0
811,Embedded software,0
812,Embedded systems,0
813,Ember.js,0
814,EMC,0
815,EME,0
816,EMEA,0
817,Emerging technologies,0
818,EMI,0
819,EMR,0
820,EMS,0
821,Emulation,0
822,EMV,0
823,Encryption,0
824,End-user computing,0
825,End-user training,0
826,Endeca,0
827,Energy,0
828,Engagement management,0
829,Engineering analysis,0
830,Engineering design,0
831,Engineering support,0
832,Engineering technician,0
833,English,1
834,ENOVIA,0
835,Enterprise architecture,0
836,Enterprise integration,0
837,Enterprise JavaBeans,0
838,Enterprise mobility management,0
839,Enterprise networks,0
840,Enterprise services,0
841,Enterprise software,0
842,Entity Framework,0
843,Environment management,0
844,Environmental,0
845,EP,0
846,EPC,0
847,EPIC,0
848,Epicor,0
849,EPLAN,0
850,EPM,0
851,ER/Studio,0
852,Ericsson,0
853,ERP,0
854,ERS,0
855,ERwin,0
856,ESB,0
857,Escalation management,0
858,ESD,0
859,ESP,0
860,ESS,0
861,Essbase,0
862,Estimating,1
863,Ethernet,0
864,ETL,0
865,ETM,0
866,Evaluation,1
867,EVDO,0
868,Event management,0
869,Exceed,1
870,Expect,1
871,Experience design,0
872,Exploratory testing,0
873,EXT,0
874,Ext JS,0
875,Extraction,0
876,Extreme programming,0
877,F5,0
878,Facebook,1
879,Facilitation,0
880,Failover,0
881,Failure analysis,0
882,FAR,0
883,FC,0
884,FCAPS,0
885,FCoE,0
886,FDA,0
887,FEA,0
888,Feasibility study,0
889,FedRAMP,0
890,FEM,0
891,FFmpeg,0
892,Fiber channel,0
893,Fiddler,0
894,Field engineering,0
895,Field service,0
896,FIFO,0
897,File formats,0
